model_name,rul_band,rmse,mae,rows
gru,early_life,18.30035607604699,14.295493011282122,16647
gru,late_life,8.433228422659546,6.111469557927328,2982
gru,mid_life,18.27165445814828,13.684083774224133,5680
hgb,early_life,17.231518152231605,12.907620373115344,23605
hgb,late_life,8.79134809912045,6.120477240233079,2982
hgb,mid_life,25.605838457839113,18.86275068649122,5680
lstm,early_life,17.49679419771235,13.60387188693219,19487
lstm,late_life,14.075495919395038,9.78187310395826,2982
lstm,mid_life,28.815793776363268,22.482138344939326,5680
rf,early_life,17.164858018191595,12.93304128662739,23605
rf,late_life,8.49641764766979,5.914248440820486,2982
rf,mid_life,25.353298982510196,18.45037158817165,5680
