model_name,dataset_id,rmse,mae,rows
gru,FD001,13.974344821250726,10.920751518345341,3513
gru,FD002,19.426635538001516,15.145500342276629,8108
gru,FD003,14.121481222593996,10.185512014453804,3961
gru,FD004,17.988920167476802,13.613440965330343,9727
hgb,FD001,18.679831177752245,13.902624039623182,4493
hgb,FD002,19.763071878506523,14.799063961980622,10656
hgb,FD003,17.064672282435584,11.865476245848448,4941
hgb,FD004,17.653515778281463,12.423867325072125,12177
lstm,FD001,18.783636541328974,15.222259592741857,3913
lstm,FD002,21.7277130607754,16.888612460115354,9148
lstm,FD003,15.733376262761885,11.058588780987238,4361
lstm,FD004,20.468216639959774,14.885663150040736,10727
rf,FD001,18.685562363314823,13.974912824933156,4493
rf,FD002,19.600427307900503,14.670797745084867,10656
rf,FD003,16.97822062386976,11.8781791108169,4941
rf,FD004,17.51194394821586,12.31070476813549,12177
